scan_stage,scan_pass,wing_loading_pa,wing_loading_kg_per_m2,p_w_takeoff_kw_per_kg,p_w_climb_kw_per_kg,p_w_cruise_kw_per_kg,mtom_kg,p_total_climb_kw,p_total_cruise_kw,p_total_takeoff_kw,status,error
focus,0,1875.0,191.19678993336154,0.132825210264063,0.132825210264063,0.132825210264063,9621.42969788083,2226.1527792241964,2406.726756913876,2177.1636285399545,ok,
refine,1,1900.0,193.7460804658064,0.13260677971528986,0.13260677971528986,0.13260677971528986,9589.00878576516,2215.0465408873993,2394.719414386341,2166.301856928357,ok,
focus,0,1925.0,196.2953709982512,0.13240157579428186,0.13240157579428186,0.13240157579428186,9554.426661712383,2202.9210145979996,2381.6100840200857,2154.4432335824577,ok,
refine,1,1950.0,198.84466153069602,0.13220909115087898,0.13220909115087898,0.13220909115087898,9527.895799950546,2193.6824577173247,2371.6219572068117,2145.4080326606327,ok,
focus,0,1975.0,201.39395206314083,0.1320288436843337,0.1320288436843337,0.1320288436843337,9498.75437438838,2183.906343816952,2361.052658707152,2135.8471072406383,ok,
refine,1,2000.0,203.94324259558567,0.1318603749683337,0.1318603749683337,0.1318603749683337,9474.56668708101,2175.641509342643,2352.1172572276428,2127.7641954801225,ok,
focus,0,2025.0,206.4925331280305,0.13170324879295806,0.13170324879295806,0.13170324879295806,9448.110744457306,2166.9915130887603,2342.765443883413,2119.304599989581,ok,
refine,1,2050.0,209.0418236604753,0.131557049813573,0.131557049813573,0.131557049813573,9425.627723488627,2159.419806998439,2334.579407730823,2111.899559707786,ok,
focus,0,2075.0,211.59111419292012,0.1314213822976398,0.1314213822976398,0.1314213822976398,9400.820021361582,2151.4361691386985,2325.9480177416413,2104.091654957994,ok,
refine,1,2100.0,214.14040472536493,0.13129586896126494,0.13129586896126494,0.13129586896126494,9395.850079073376,2149.6332548762066,2323.9988241046026,2102.328425828506,ok,
refine,2,2112.5,215.41504999158735,0.13123680698611426,0.13123680698611426,0.13123680698611426,9375.31160512297,2143.6869992364304,2317.5701192580195,2096.513057137072,ok,
focus,0,2125.0,216.68969525780977,0.1311801498880931,0.1311801498880931,0.1311801498880931,9359.219622561646,2137.6386833566116,2311.0310735180146,2090.5978747207423,ok,
refine,2,2137.5,217.96434052403217,0.13112585522639134,0.13112585522639134,0.13112585522639134,9348.174034059444,2134.5522740782826,2307.69424854981,2087.5794024293587,ok,
refine,1,2150.0,219.2389857902546,0.13107388152383226,0.13107388152383226,0.13107388152383226,9339.481910966897,2131.850834622962,2304.773627915373,2084.9374261367175,ok,
refine,2,2162.5,220.51363105647698,0.1310241882391653,0.1310241882391653,0.1310241882391653,9330.163808339392,2128.856568764002,2301.5364224190785,2082.0090690352254,ok,
focus,0,2175.0,221.7882763226994,0.13097673574031632,0.13097673574031632,0.13097673574031632,9323.411004274389,2127.0245265068493,2299.55573748873,2080.2173530665464,ok,
refine,2,2187.5,223.06292158892182,0.1309314852785585,0.1309314852785585,0.1309314852785585,9317.706795107651,2125.665114368606,2298.0860295025527,2078.8878638440156,ok,
