scan_stage,scan_pass,wing_loading_pa,wing_loading_kg_per_m2,p_w_takeoff_kw_per_kg,p_w_climb_kw_per_kg,p_w_cruise_kw_per_kg,mtom_kg,p_total_climb_kw,p_total_cruise_kw,p_total_takeoff_kw,status,error
focus,0,1997.5,203.68831354234118,0.134223580727856,0.134223580727856,0.134223580727856,5838.8018378782035,1420.0206248767859,1572.5932958412384,1382.8122696114337,ok,
refine,1,2032.5,207.25732028776392,0.13404635767169779,0.13404635767169779,0.13404635767169779,5819.607267035575,1414.135020225763,1566.0750721974152,1377.0809436531997,ok,
focus,0,2047.5,208.7868946072308,0.1339769538226535,0.1339769538226535,0.1339769538226535,5809.1232131587485,1410.4366037511431,1561.979128426306,1373.4794733536846,ok,
refine,1,2057.5,209.80661082020876,0.13393280377865113,0.13393280377865113,0.13393280377865113,5796.660628643606,1405.9785630575602,1557.04191161053,1369.138290779426,ok,
refine,1,2082.5,212.35590135265358,0.13382966725302828,0.13382966725302828,0.13382966725302828,5793.575892006951,1406.0930463883237,1557.1687002750177,1369.2497731715155,ok,
focus,0,2097.5,213.88547567212046,0.1337726301985523,0.1337726301985523,0.1337726301985523,5774.300805406134,1398.9184088081904,1549.2228909514924,1362.2632035593701,ok,
refine,1,2107.5,214.9051918850984,0.13373657608989112,0.13373657608989112,0.13373657608989112,5780.261427966094,1401.70687131089,1552.3110736094716,1364.9785724080928,ok,
refine,1,2132.5,217.4544824175432,0.1336531753425054,0.1336531753425054,0.1336531753425054,5763.310690302773,1396.111575799482,1546.1143632187557,1359.5299457486465,ok,
focus,0,2147.5,218.9840567370101,0.13360764468187336,0.13360764468187336,0.13360764468187336,5754.6528939142845,1393.1625751356182,1542.8483868250637,1356.6582469075236,ok,
refine,1,2157.5,220.00377294998802,0.13357912613836467,0.13357912613836467,0.13357912613836467,5758.411746841461,1395.3903891965174,1545.3156592884413,1358.8276635289972,ok,
refine,1,2182.5,222.55306348243286,0.13351410476303432,0.13351410476303432,0.13351410476303432,5729.492284176532,1386.2095651890331,1535.1480269611557,1349.8874954286935,ok,
refine,2,2190.0,223.3178506421663,0.1334963121600237,0.1334963121600237,0.1334963121600237,5739.56468936289,1389.341742450181,1538.6168688373614,1352.9375692795575,ok,
focus,0,2197.5,224.08263780189975,0.13347929601023756,0.13347929601023756,0.13347929601023756,5722.142178584448,1383.811290118463,1532.4919713481331,1347.5520860728247,ok,
refine,2,2202.5,224.5924959083887,0.1334683793159201,0.1334683793159201,0.1334683793159201,5720.051080106038,1383.168893864157,1531.7805266110504,1346.9265288792856,ok,
refine,1,2207.5,225.10235401487768,0.13345780180643033,0.13345780180643033,0.13345780180643033,5725.701444428536,1385.9462118629135,1534.8563668890347,1349.6310453536935,ok,
refine,2,2215.0,225.8671411746111,0.13344256643343486,0.13344256643343486,0.13344256643343486,5719.224673304199,1383.5054306676805,1532.1532363460412,1347.2542440814268,ok,
refine,2,2227.5,227.14178644083353,0.1334188374218973,0.1334188374218973,0.1334188374218973,5716.633551796533,1383.059744197864,1531.6596449042872,1346.8202403409193,ok,
refine,1,2232.5,227.6516445473225,0.1334099213666311,0.1334099213666311,0.1334099213666311,5713.629106084974,1382.010045565348,1530.4971185622974,1345.7980573406023,ok,
refine,2,2240.0,228.41643170705595,0.13339715697475305,0.13339715697475305,0.13339715697475305,5713.132963311803,1382.2088384265533,1530.7172788355338,1345.9916392668943,ok,
focus,0,2247.5,229.18121886678938,0.13338511761596494,0.13338511761596494,0.13338511761596494,5702.5111003142465,1378.3341000293615,1526.4260610368979,1342.2184689515332,ok,
refine,2,2252.5,229.69107697327834,0.13337749054796352,0.13337749054796352,0.13337749054796352,5708.263880285652,1381.1592097518353,1529.5548299708125,1344.9695243905796,ok,
refine,1,2257.5,230.2009350797673,0.13337018030675493,0.13337018030675493,0.13337018030675493,5698.997701869571,1377.331841778715,1525.316074244726,1341.2424827836912,ok,
refine,2,2265.0,230.96572223950076,0.1333598043391237,0.1333598043391237,0.1333598043391237,5703.630504194258,1379.7996558952696,1528.0491433645302,1343.645608366353,ok,
refine,3,2268.75,231.34811581936748,0.13335487965483342,0.13335487965483342,0.13335487965483342,5696.62476418548,1376.9017232193435,1524.8397240429072,1340.823638873743,ok,
