scan_stage,scan_pass,wing_loading_pa,wing_loading_kg_per_m2,p_w_takeoff_kw_per_kg,p_w_climb_kw_per_kg,p_w_cruise_kw_per_kg,mtom_kg,p_total_climb_kw,p_total_cruise_kw,p_total_takeoff_kw,status,error
focus,0,1997.5,203.68831354234118,0.134223580727856,0.134223580727856,0.134223580727856,5032.323823327644,1114.620093573148,1197.9913818647985,1091.2753688439384,ok,
refine,1,2032.5,207.25732028776392,0.13404635767169779,0.13404635767169779,0.13404635767169779,5018.978416439847,1110.4136633861503,1193.4701632911201,1087.1570822899057,ok,
focus,0,2047.5,208.7868946072308,0.1339769538226535,0.1339769538226535,0.1339769538226535,5005.64649815703,1105.5103635146409,1188.1999247596675,1082.356528605776,ok,
refine,1,2057.5,209.80661082020876,0.13393280377865113,0.13393280377865113,0.13393280377865113,5001.827312265343,1104.2947519617778,1186.8933428631772,1081.1663895827735,ok,
refine,1,2082.5,212.35590135265358,0.13382966725302828,0.13382966725302828,0.13382966725302828,4997.901713886406,1103.7788104856788,1186.3387908841903,1080.6612594013063,ok,
focus,0,2097.5,213.88547567212046,0.1337726301985523,0.1337726301985523,0.1337726301985523,4986.621367884181,1099.4389092804468,1181.6741129828015,1076.4122986472248,ok,
refine,1,2107.5,214.9051918850984,0.13373657608989112,0.13373657608989112,0.13373657608989112,4995.176620460763,1102.1461666780106,1184.5839681059,1079.0628268250498,ok,
refine,1,2132.5,217.4544824175432,0.1336531753425054,0.1336531753425054,0.1336531753425054,4974.282150947149,1095.9270344367828,1177.899426831897,1072.9740133779692,ok,
focus,0,2147.5,218.9840567370101,0.13360764468187336,0.13360764468187336,0.13360764468187336,4969.484676718013,1094.4927344343334,1176.3577909261483,1071.5697684120605,ok,
refine,1,2157.5,220.00377294998802,0.13357912613836467,0.13357912613836467,0.13357912613836467,4970.958718502385,1095.6493578364857,1177.6009702910944,1072.702155351439,ok,
refine,1,2182.5,222.55306348243286,0.13351410476303432,0.13351410476303432,0.13351410476303432,4958.002353371516,1090.9959543448706,1172.5993291460345,1068.146261594009,ok,
refine,2,2190.0,223.3178506421663,0.1334963121600237,0.1334963121600237,0.1334963121600237,4959.326555105018,1091.9600193625595,1173.63554001141,1069.090125113208,ok,
focus,0,2197.5,224.08263780189975,0.13347929601023756,0.13347929601023756,0.13347929601023756,4953.695900516415,1089.7677548993106,1171.2792173413482,1066.9437984512822,ok,
refine,2,2202.5,224.5924959083887,0.1334683793159201,0.1334683793159201,0.1334683793159201,4960.525694077642,1091.4516725595358,1173.0891510531894,1068.5924304622542,ok,
refine,1,2207.5,225.10235401487768,0.13345780180643033,0.13345780180643033,0.13345780180643033,4959.161922699475,1091.0739571604454,1172.6831693057184,1068.2226298997407,ok,
refine,2,2215.0,225.8671411746111,0.13344256643343486,0.13344256643343486,0.13344256643343486,4955.661240331108,1091.5044144988087,1173.1458399377905,1068.6440672206659,ok,
refine,2,2227.5,227.14178644083353,0.1334188374218973,0.1334188374218973,0.1334188374218973,4951.557021421654,1090.2407865918756,1171.7876483812768,1067.4069180021886,ok,
refine,1,2232.5,227.6516445473225,0.1334099213666311,0.1334099213666311,0.1334099213666311,4943.488725825158,1087.1453079962691,1168.4605195098316,1064.3763036066407,ok,
refine,2,2240.0,228.41643170705595,0.13339715697475305,0.13339715697475305,0.13339715697475305,4947.132027266101,1089.161393236106,1170.6274785766059,1066.35014279234,ok,
focus,0,2247.5,229.18121886678938,0.13338511761596494,0.13338511761596494,0.13338511761596494,4939.617225786082,1086.0997547314319,1167.3367222207755,1063.3526593856063,ok,
refine,2,2252.5,229.69107697327834,0.13337749054796352,0.13337749054796352,0.13337749054796352,4943.3298785469215,1088.0282026699965,1169.409485645011,1065.2406976656885,ok,
refine,1,2257.5,230.2009350797673,0.13337018030675493,0.13337018030675493,0.13337018030675493,4940.917079993198,1087.1677751563539,1168.484668000822,1064.3982999786642,ok,
