scan_stage,scan_pass,wing_loading_pa,wing_loading_kg_per_m2,p_w_takeoff_kw_per_kg,p_w_climb_kw_per_kg,p_w_cruise_kw_per_kg,mtom_kg,p_total_climb_kw,p_total_cruise_kw,p_total_takeoff_kw,status,error
focus,0,1997.5,203.68831354234118,0.134223580727856,0.134223580727856,0.134223580727856,5944.759237435927,1446.6755742979003,1602.113274134618,1408.768515841139,ok,
refine,1,2032.5,207.25732028776392,0.13404635767169779,0.13404635767169779,0.13404635767169779,5922.774579935213,1438.863169201113,1593.4611463352844,1401.1608964405264,ok,
focus,0,2047.5,208.7868946072308,0.1339769538226535,0.1339769538226535,0.1339769538226535,5906.030105172826,1434.610176714474,1588.751017499398,1397.0193871676242,ok,
refine,1,2057.5,209.80661082020876,0.13393280377865113,0.13393280377865113,0.13393280377865113,5898.182409041199,1432.4567024216428,1586.3660752743954,1394.9223616542392,ok,
refine,1,2082.5,212.35590135265358,0.13382966725302828,0.13382966725302828,0.13382966725302828,5874.117247682416,1424.5383877773168,1577.5966541538473,1387.2116089011465,ok,
focus,0,2097.5,213.88547567212046,0.1337726301985523,0.1337726301985523,0.1337726301985523,5863.362532508323,1421.1007695034727,1573.7895406897937,1383.8641005285008,ok,
refine,1,2107.5,214.9051918850984,0.13373657608989112,0.13373657608989112,0.13373657608989112,5872.007793519711,1423.883525076009,1576.8714030035885,1386.5739120421783,ok,
refine,1,2132.5,217.4544824175432,0.1336531753425054,0.1336531753425054,0.1336531753425054,5841.225778926706,1414.6993645620544,1566.700075542727,1377.6304948948734,ok,
focus,0,2147.5,218.9840567370101,0.13360764468187336,0.13360764468187336,0.13360764468187336,5837.283847769854,1412.4494715788842,1564.2083509861989,1375.4395781034355,ok,
refine,1,2157.5,220.00377294998802,0.13357912613836467,0.13357912613836467,0.13357912613836467,5832.1460655967,1410.9964631862963,1562.5991648072404,1374.0246572564288,ok,
refine,1,2182.5,222.55306348243286,0.13351410476303432,0.13351410476303432,0.13351410476303432,5828.633699682746,1411.3628778214847,1563.0049638168823,1374.3814671059945,ok,
refine,2,2190.0,223.3178506421663,0.1334963121600237,0.1334963121600237,0.1334963121600237,5825.59200774556,1410.6131250088843,1562.1746232147038,1373.6513674795492,ok,
focus,0,2197.5,224.08263780189975,0.13347929601023756,0.13347929601023756,0.13347929601023756,5819.752072299319,1408.654513076708,1560.0054882893453,1371.7440964216746,ok,
refine,2,2202.5,224.5924959083887,0.1334683793159201,0.1334683793159201,0.1334683793159201,5807.856776452137,1404.2988090004674,1555.1816078252857,1367.5025679265173,ok,
refine,1,2207.5,225.10235401487768,0.13345780180643033,0.13345780180643033,0.13345780180643033,5804.707742200533,1403.3095464226449,1554.0860135563794,1366.5392367773895,ok,
refine,2,2215.0,225.8671411746111,0.13344256643343486,0.13344256643343486,0.13344256643343486,5806.727291238295,1404.734460473849,1555.6640856508682,1367.926799716823,ok,
refine,2,2227.5,227.14178644083353,0.1334188374218973,0.1334188374218973,0.1334188374218973,5803.387791467111,1404.2117359287238,1555.0851756337556,1367.4177772914106,ok,
