scan_stage,scan_pass,wing_loading_pa,wing_loading_kg_per_m2,p_w_takeoff_kw_per_kg,p_w_climb_kw_per_kg,p_w_cruise_kw_per_kg,mtom_kg,p_total_climb_kw,p_total_cruise_kw,p_total_takeoff_kw,status,error
focus,0,1997.5,203.68831354234118,0.09581594723965388,0.134223580727856,0.12036958576403031,6040.521047404042,1114.3049659726987,1054.5939933075563,795.2821498075726,ok,
refine,1,2032.5,207.25732028776392,0.0980336330155254,0.13404635767169779,0.11893376499536053,5949.893067233154,1096.062073731663,1026.2774425761015,801.4260377698632,ok,
focus,0,2047.5,208.7868946072308,0.09898913664767457,0.1339769538226535,0.11833680850617893,5912.918324332019,1088.0811342069624,1014.2450991747651,803.7609675834696,ok,
refine,1,2057.5,209.80661082020876,0.09962782105677385,0.13393280377865113,0.11794479049866456,5889.378407500748,1083.2428705401312,1006.7183070634121,805.6153049643455,ok,
refine,1,2082.5,212.35590135265358,0.10123039896489071,0.13382966725302828,0.11698508079518137,5834.399096560944,1072.2846361845227,989.1875682098137,810.9177950895977,ok,
focus,0,2097.5,213.88547567212046,0.10219595508523154,0.1337726301985523,0.11642286686857335,5803.862204369712,1066.459700137853,979.5042120884125,814.5525092754837,ok,
refine,1,2107.5,214.9051918850984,0.10284132410865304,0.13373657608989112,0.11605359468243658,5788.273558549518,1063.9013536162392,974.3256099862211,817.9504781417568,ok,
refine,1,2132.5,217.4544824175432,0.10446055447870203,0.1336531753425054,0.11514933978339434,5730.976611578285,1051.8275953512273,956.3484049323616,821.9129161606286,ok,
focus,0,2147.5,218.9840567370101,0.10543606196136641,0.13360764468187336,0.11461946229902469,5703.409456968839,1046.6861078278964,947.6199390984503,825.8145404278252,ok,
refine,1,2157.5,220.00377294998802,0.10608804867330093,0.13357912613836467,0.11427136971763696,5683.142008386908,1042.5083568680395,941.1707919090783,827.7812904260801,ok,
refine,1,2182.5,222.55306348243286,0.10772376588450888,0.13351410476303432,0.11341878146696509,5638.407411004222,1034.1052900185448,927.0647555230968,834.1753302698088,ok,
refine,2,2190.0,223.3178506421663,0.10821607850713173,0.1334963121600237,0.11316782453014684,5630.938411455887,1032.6691398630821,923.8947624663534,836.9353021064826,ok,
focus,0,2197.5,224.08263780189975,0.1087091265007879,0.13347929601023756,0.11291905151744322,5613.165508407455,1029.1074323206435,918.7650632579142,837.9556056614186,ok,
refine,2,2202.5,224.5924959083887,0.10903823317334348,0.1334683793159201,0.11275440511926216,5601.652940177096,1026.6456030170398,915.3043415517803,838.5503963805185,ok,
refine,1,2207.5,225.10235401487768,0.1093676658847598,0.13345780180643033,0.11259071292000619,5592.938781601541,1025.1384266120078,912.7037408048814,839.9156816279312,ok,
refine,2,2215.0,225.8671411746111,0.10986242558487233,0.13344256643343486,0.11234694961297366,5587.286234568566,1024.6775095071791,910.4337925395356,843.4322274556143,ok,
refine,2,2227.5,227.14178644083353,0.11068865082266409,0.1334188374218973,0.11194535763832392,5558.218308818572,1018.226672646453,901.6203413799681,844.575752157869,ok,
refine,1,2232.5,227.6516445473225,0.11101970901383097,0.1334099213666311,0.11178634058179848,5559.682851356396,1019.5267143030719,901.5691248699421,848.2399948535585,ok,
refine,2,2240.0,228.41643170705595,0.11151690400209704,0.13339715697475305,0.11154953106282312,5553.402715012377,1018.8433481495683,899.1579313498146,851.5539521240337,ok,
focus,0,2247.5,229.18121886678938,0.1120148273025015,0.13338511761596494,0.11131476250336898,5527.32479924632,1012.5272992345487,891.7498359093387,850.1255623942366,ok,
refine,2,2252.5,229.69107697327834,0.11234718027259892,0.13337749054796352,0.11115937393228333,5520.6277026764665,1011.3464573751676,889.511683260491,851.7022486629722,ok,
refine,1,2257.5,230.2009350797673,0.11267985616619039,0.13337018030675493,0.11100487743556244,5511.34051148249,1009.4969992436419,886.7022844820756,852.7088629787778,ok,
refine,2,2265.0,230.96572223950076,0.11317947481726882,0.1333598043391237,0.11077479241071055,5499.640253594773,1006.9693501282217,882.7212734591673,854.4116708694189,ok,
refine,3,2268.75,231.34811581936748,0.11342955602811922,0.13335487965483342,0.11066049142456948,5504.396026900115,1009.0551015833748,883.694036239439,858.1048873080537,ok,
refine,3,2275.0,231.9854384524787,0.11384676039471585,0.13334705887482903,0.11047107989071168,5499.557513053095,1008.6081733369178,881.8436810868552,860.9267607061017,ok,
refine,2,2277.5,232.24036750572319,0.114013782852505,0.13334406526726897,0.11039569472217636,5478.706279343366,1003.0480077911157,876.3736023541668,857.4594348689958,ok,
refine,3,2281.25,232.6227610855899,0.11426446718265582,0.13333971837872177,0.11028302129065415,5473.921130501964,1002.1544067378682,874.7279757558747,858.6071590579865,ok,
refine,1,2282.5,232.75022561221215,0.11434806877870979,0.13333830756082632,0.11024557094499064,5473.702371881075,1002.3354543799908,874.5979742767632,859.3996804307639,ok,
refine,3,2287.5,233.2600837187011,0.11468267580035438,0.1333328541665923,0.11009630453836339,5476.0609205788915,1002.9063534331788,873.9865619813729,862.4465874702619,ok,
refine,2,2290.0,233.51501277194558,0.11485009962763779,0.1333302409533465,0.11002199109459385,5474.66110811705,1003.7637271843369,874.1602276488965,864.4606890231636,ok,
refine,3,2293.75,233.8974063518123,0.11510138565825571,0.1333264622808586,0.10991091866863485,5456.271318902699,998.9039965021317,869.0361325857074,862.17642967882,ok,
focus,0,2297.5,234.27979993167904,0.11535285192379449,0.1333228522353888,0.10980032145357459,5453.03253858502,998.5231076262334,867.8550423431029,863.7539724789677,ok,
refine,3,2300.0,234.5347289849235,0.11552059616882189,0.13332053880570605,0.10972685283545083,5455.80644505755,999.5809591937713,868.2455923840691,865.9468404856474,ok,
refine,2,2302.5,234.789658038168,0.11568842042456831,0.13331829970132358,0.10965359370532388,5443.832730891273,996.6996513589773,865.1399800452878,864.7142810730103,ok,
refine,3,2306.25,235.17205161803471,0.11594030674652163,0.1333150798665263,0.10954409631036567,5451.911390742251,999.4620861567489,866.725959787868,869.0189586071612,ok,
refine,1,2307.5,235.29951614465696,0.1160243088187314,0.1333140434849098,0.10950770118640021,5436.941208421344,995.2696352830399,862.7793212351485,866.0082730930457,ok,
refine,4,2308.125,235.3632484079681,0.11606631734563191,0.1333135321950569,0.109489523078349,5451.9348077050045,998.5647133779829,865.5238799880932,869.1932704112227,ok,
refine,4,2311.25,235.68190972452368,0.11627643486481479,0.1333110446033142,0.10939882665669699,5429.799428324709,993.8724718687408,860.7307161984911,866.6912969586026,ok,
focus,0,2312.5,235.80937425114593,0.11636051680781923,0.13331008162936606,0.10936263848091696,5429.095987966038,993.9128492383563,860.4844272989536,867.3595263235027,ok,
refine,4,2314.375,236.00057104107927,0.1164866771385166,0.13330867142689237,0.10930845280530725,5432.372045896732,994.6419333114837,860.7390183102227,868.9522139860395,ok,
refine,2,2315.0,236.0643033043904,0.11652874055741194,0.1333082104799115,0.10929041662854493,5439.411890929941,997.211489058959,862.8212628689471,871.5126088679982,ok,
refine,4,2317.5,236.3192323576349,0.11669704409417943,0.13330641219429648,0.10921840021972659,5431.927933274934,995.0991609537735,860.4375398908436,870.9339307910977,ok,
refine,3,2318.75,236.44669688425714,0.11678122577116419,0.13330554030038405,0.1091824688490623,5422.174547203663,992.7556825089005,858.0947057393707,869.5116660525464,ok,
refine,4,2320.625,236.63789367419048,0.11690753565936873,0.13330426643649554,0.10912866760252825,5428.95169351827,995.0067763098106,859.6605144371858,872.4335417293552,ok,
refine,4,2323.75,236.9565549907461,0.11711815176177265,0.13330223368690558,0.1090392536632646,5425.617897072391,994.4506379340104,858.4856947409473,873.5264020249847,ok,
refine,3,2325.0,237.08401951736832,0.11720243305697979,0.1333014521253171,0.10900357702964154,5421.24757574134,993.1943921289359,857.1333859228987,873.063775766391,ok,
refine,4,2326.875,237.2752163073017,0.11732889232920192,0.13330031348137383,0.10895015711842025,5422.069429552202,993.8262740161017,857.2575946788128,874.5608325827228,ok,
refine,2,2327.5,237.3389485706128,0.11737105537214684,0.13329994290487918,0.10893237578431762,5409.086796645726,990.2254899268245,853.9849177781676,871.712648484883,ok,
refine,5,2327.8125,237.37081470226838,0.11739213875933344,0.1332997592967129,0.10892348985584327,5420.423267036526,993.4764152355004,856.7518083738671,874.7327370948364,ok,
refine,5,2329.375,237.5301453605462,0.11749757434953036,0.1332988580383016,0.10887910754840148,5417.905676522387,992.8638165199351,855.8784120310728,874.9796433726937,ok,
refine,4,2330.0,237.59387762385728,0.11753975728958935,0.13329850535816218,0.10886137669136577,5418.414539690237,993.1631742018475,855.9989466470789,875.5595941062406,ok,
refine,5,2330.9375,237.68947601882397,0.11760304102357347,0.13329798470851748,0.10883480401620671,5414.706161882703,992.3948652104039,855.1328220911228,875.3582695768223,ok,
refine,3,2331.25,237.72134215047953,0.11762413808765282,0.133297813388955,0.10882595274886343,5417.2239284438465,993.0032012686457,855.5906729947831,876.0553413410913,ok,
refine,1,2332.5,237.84880667710178,0.11770853877247799,0.13329713925010733,0.10879057910100341,5411.611692178196,991.975142655103,854.4066956050128,875.7822132965588,ok,
refine,4,2333.125,237.9125389404129,0.11775074657098976,0.1332968088579316,0.10877291111231127,5413.740417353168,992.48124950074,854.7268956961435,876.540009139325,ok,
refine,5,2334.0625,238.0081373353796,0.11781406758726655,0.13329632160596672,0.10874643264496012,5411.25480085676,991.7976036427671,853.934016441861,876.4111432350895,ok,
refine,5,2335.625,238.16746799365737,0.1179196274589697,0.13329553171913924,0.1087023644906674,5408.566662881033,991.1599234353031,853.0439488763816,876.6459237722701,ok,
