scan_stage,scan_pass,wing_loading_pa,seed_distance_pa,wing_loading_kg_per_m2,p_w_takeoff_kw_per_kg,p_w_climb_kw_per_kg,p_w_cruise_kw_per_kg,mtom_kg,p_total_climb_kw,p_total_cruise_kw,p_total_takeoff_kw,status,error
global,1,1612.5,450.0,164.42923934269095,0.11653570306970394,0.1799834758629011,0.10113419353728033,6980.5501193287455,1713.6990271816328,1003.8393235081776,1109.4921504758458,ok,
global,1,1712.5,350.0,174.62640147247023,0.126603477097509,0.17685212529006364,0.09712336667455904,6558.403778552972,1580.878404333454,905.0663221743675,1131.610709429711,ok,
global,1,1812.5,250.0,184.8235636022495,0.1369434376403505,0.17419047094208073,0.09366298070440052,6238.0826884905955,1481.18715993557,830.287070557835,1164.3715774998047,ok,
global,1,1912.5,150.0,195.02072573202878,0.14754865764183397,0.1719249373288459,0.09066671142977407,5909.526585362759,1385.436967258838,761.6319447271884,1188.9030605988908,ok,
local,2,1935.683947641,126.81605235899997,197.3848304610647,0.15004455162526914,0.17144974884338918,0.09003069199047084,5869.252342274289,1372.3218062176707,751.2075903978658,1200.8883289814082,ok,
global,1,1962.5,100.0,200.11930679691844,0.15294871327860363,0.17092182031620962,0.08932045530364967,5832.149760886953,1359.708363106959,740.7395745248614,1216.6266488502724,ok,
refine,3,1970.683947641,91.81605235899997,200.95383720648746,0.15383869787515797,0.17076520288339947,0.0891089704921598,5819.363088072401,1355.6984946239186,737.4832144639615,1221.2162282166018,ok,
local,2,1985.683947641,76.81605235899997,202.48341152595435,0.1554743479268094,0.17048347189566349,0.08872758776661809,5789.465559542871,1345.985167559146,730.248718040282,1227.3827320670741,ok,
refine,3,1995.683947641,66.81605235899997,203.50312773893228,0.15656796223318922,0.1702994166485995,0.08847774288474157,5774.14426328196,1340.8600475624305,726.2132012282595,1232.6405364696084,ok,
local,2,2010.683947641,51.81605235899997,205.03270205839917,0.1582131404395014,0.17002886969540526,0.08810945940593348,5757.110774475727,1335.1099012809457,721.2452123043252,1242.2246382323603,ok,
global,1,2012.5,50.0,205.21788786180807,0.15841270900359258,0.16999655936255917,0.08806539225802773,5749.163996561338,1332.8394238773242,719.7793494658653,1241.9124625598645,ok,
local,2,2035.683947641,26.81605235899997,207.58199259084398,0.1609677404441807,0.1695923584743923,0.08751251933190252,5722.0296612087495,1323.889856869749,712.1684785901906,1256.457082839844,ok,
refine,4,2038.183947641,24.31605235899997,207.83692164408848,0.16124406639295827,0.16954967676257926,0.08745396067376125,5719.250951390425,1322.9795906533618,711.3820344067575,1258.0652189301034,ok,
refine,3,2045.683947641,16.81605235899997,208.6017088038219,0.16207398641657547,0.16942267109700526,0.08727950207932361,5703.359528757833,1317.4195648660555,707.4999407781933,1260.1700392083624,ok,
refine,4,2050.683947641,11.816052358999968,209.11156691031087,0.1626280506954679,0.16933886055071182,0.08716420341528476,5697.556068614522,1315.3891037631774,705.8257171157902,1263.1537911841149,ok,
local,2,2060.683947641,1.8160523589999684,210.1312831232888,0.1637380583135962,0.1691732807088401,0.08693599666473496,5679.125211607747,1309.4368896442982,701.5026663638421,1267.2668922968319,ok,
seed,0,2062.5,0.0,210.31646892669772,0.16393990998423658,0.16914350018038726,0.08689489232589881,5678.032628833117,1308.9913190418886,701.0303098354351,1268.6137021777463,ok,
