scan_stage,scan_pass,wing_loading_pa,seed_distance_pa,wing_loading_kg_per_m2,p_w_takeoff_kw_per_kg,p_w_climb_kw_per_kg,p_w_cruise_kw_per_kg,mtom_kg,p_total_climb_kw,p_total_cruise_kw,p_total_takeoff_kw,status,error
global,1,1612.5,450.0,164.42923934269095,0.11653570306970394,0.18000925135599624,0.10632030722753238,9345.015816156405,2312.1221697662922,1412.4382960747148,1496.6651891547622,ok,
global,1,1712.5,350.0,174.62640147247023,0.126603477097509,0.1768821654942946,0.10196778638706204,8607.337137706354,2093.072718014219,1247.9606810198622,1497.9441033533276,ok,
global,1,1812.5,250.0,184.8235636022495,0.1369434376403505,0.17422507835678464,0.0982011952396249,8033.880926219253,1921.9945587186469,1120.440281334318,1510.5407117819805,ok,
global,1,1912.5,150.0,195.02072573202878,0.14754865764183397,0.17196439503734504,0.09492864194807084,7619.021030461034,1799.1660934115655,1027.2139697364207,1543.5393550621977,ok,
local,2,1923.699948228,138.80005177199996,196.1628026112893,0.14875266864587391,0.1717331792930876,0.09458950546473079,7599.624929325735,1793.6609541901312,1021.8015459446448,1553.4619280855027,ok,
global,1,1962.5,100.0,200.11930679691844,0.15294871327860363,0.1709638024740198,0.0934540346594912,7466.726980133077,1754.454198189984,991.9127581501277,1569.3990959896448,ok,
local,2,1973.699948228,88.80005177199996,201.26138367617892,0.15416711197710614,0.17075056199329566,0.09313729294261265,7422.885740960524,1741.7807433002856,982.6301066055968,1572.4354728391709,ok,
refine,3,1983.699948228,78.80005177199996,202.28109988915688,0.1552576771318722,0.1705634156919211,0.09285853265460037,7405.047878949751,1736.389678516255,977.7350933795694,1580.3893624161763,ok,
local,2,1998.699948228,63.80005177199996,203.81067420862377,0.15689829478210074,0.17028833742318986,0.09244741971168674,7346.481646733704,1719.4342028802,965.4199400656859,1584.0490698879405,ok,
refine,3,2008.699948228,53.80005177199996,204.8303904216017,0.1579952112783388,0.170108647281024,0.09217794780284175,7316.709827348192,1710.4483229155348,958.6098695313082,1588.4633981936324,ok,
global,1,2012.5,50.0,205.21788786180807,0.15841270900359258,0.1700411281765516,0.09207649889132913,7304.326218210524,1707.0972649132782,956.0366486555695,1590.1718427405783,ok,
local,2,2023.699948228,38.80005177199996,206.35996474106858,0.15964532858579475,0.16984454574060873,0.09178050857915052,7278.034995017879,1698.7609196303904,949.4417377644681,1596.5648977856924,ok,
refine,4,2041.199948228,21.30005177199996,208.14446811377996,0.16157763514370677,0.16954449703336696,0.0913268815809826,7238.590290825916,1687.3625285363632,940.0731498480849,1607.8874723757865,ok,
local,2,2048.699948228,13.800051772000188,208.90925527351337,0.1624081230286238,0.1694185132282276,0.09113571920794811,7216.200664666434,1680.7666797324491,935.1326254360232,1611.031430958737,ok,
refine,4,2053.699948228,8.800051772000188,209.41911338000233,0.1629625653494903,0.16933538084203933,0.09100934487604803,7192.464752473288,1673.6497576003662,930.3251621883338,1610.4766880582765,ok,
refine,3,2058.699948228,3.800051772000188,209.9289714864913,0.16351763383390097,0.169252928091647,0.0908838170890437,7177.675367313181,1669.4282209549224,927.1495926446423,1612.6713648494012,ok,
local,2,2061.199948228,1.300051772000188,210.1839005397358,0.16379540266820705,0.16921195503655706,0.0908213687253761,7169.455177332345,1666.3157654572717,925.0408945452948,1612.7958519635306,ok,
seed,0,2062.5,0.0,210.31646892669772,0.16393990998423658,0.16919071466001598,0.09078897706448515,7167.055931730201,1666.045640466253,924.6474125430184,1614.153304693393,ok,
local,2,2073.699948228,11.199948227999812,211.45854580595818,0.16518658926767218,0.16900959856584905,0.09051225178458418,7126.154876928201,1653.7157818658754,915.9831166477337,1616.121508992876,ok,
refine,5,2074.949948228,12.449948227999812,211.58601033258043,0.1653259223909357,0.16898959109407732,0.09048162429510125,7146.00237085332,1660.1991713456985,919.3890250764434,1624.0182033407395,ok,
refine,4,2078.699948228,16.199948227999812,211.96840391244717,0.16574415541715135,0.1689298155046465,0.09039004925881855,7125.439985593227,1654.0420429344351,915.362179100692,1622.662422285624,ok,
refine,5,2081.199948228,18.699948227999812,212.22333296569164,0.16602317204026143,0.16889017005972232,0.09032925450519562,7113.054132149389,1649.7075377382057,912.5706732945864,1621.51512708619,ok,
refine,3,2083.699948228,21.199948227999812,212.47826201893614,0.16630234424719348,0.16885068788566646,0.09026866311077988,7114.8413700993315,1650.8854694336344,912.8150405254788,1625.7815940556907,ok,
refine,6,2085.574948228,23.074948227999812,212.66945880886948,0.16651182545245133,0.16882118304891103,0.09022335257968254,7106.226745060445,1647.5997731789664,910.7325355463876,1624.8790073944085,ok,
refine,6,2088.699948228,26.199948227999812,212.9881201254251,0.16686115506810237,0.16877221100829234,0.09014808747979167,7102.965174975404,1647.1766981981443,909.9729778449511,1628.3367068184211,ok,
refine,4,2091.199948228,28.699948227999812,213.24304917866957,0.16714079351022287,0.1687332151410161,0.09008810179205647,7106.851778828557,1648.593761626692,910.3725283396619,1632.8460155932557,ok,
refine,7,2092.762448228,30.262448227999812,213.40237983694738,0.167315646374851,0.1687089244893581,0.09005071257729522,7089.7059753318335,1642.8912114426626,906.994305894158,1629.137734284946,ok,
refine,5,2093.699948228,31.199948227999812,213.49797823191406,0.16742058719245204,0.16869438021665845,0.09002831656116131,7082.491704096689,1640.6932034694994,905.6103757524573,1628.1159704679287,ok,
refine,7,2094.324948228,31.824948227999812,213.56171049522519,0.1674905598592449,0.16868469656544804,0.09001340149072615,7087.370968072878,1642.6747885509724,906.6006555270988,1630.857287910732,ok,
refine,6,2094.949948228,32.44994822799981,213.62544275853628,0.1675605422218597,0.16867502292825542,0.08999849889284862,7086.043583999287,1642.2763980368825,906.2825921764917,1631.2365645800335,ok,
refine,7,2097.449948228,34.94994822799981,213.88037181178078,0.1678405686038418,0.16863642834085796,0.08993901300400346,7073.96625249791,1638.4170583847206,903.7928905470361,1630.5024098463186,ok,
refine,6,2098.074948228,35.57494822799981,213.9441040750919,0.16791059942554906,0.16862680463974353,0.0899241726018466,7071.5543689695005,1637.6941739816614,903.2974237370277,1630.5574809241398,ok,
local,2,2098.699948228,36.19994822799981,214.00783633840302,0.16798063993507525,0.16861719089911673,0.08990934460551323,7069.56595427455,1637.3004321737333,902.9477166606025,1630.9305944477096,ok,
refine,7,2099.012448228,36.51244822799981,214.0397024700586,0.16801566382235414,0.1686123877612094,0.08990193525606859,7071.246398591318,1637.6401635721913,903.1207707011743,1631.662060202092,ok,
