scan_stage,scan_pass,wing_loading_pa,wing_loading_kg_per_m2,p_w_takeoff_kw_per_kg,p_w_climb_kw_per_kg,p_w_cruise_kw_per_kg,mtom_kg,p_total_climb_kw,p_total_cruise_kw,p_total_takeoff_kw,status,error
focus,0,1997.5,203.68831354234118,0.17952282431451932,0.17952282431451932,0.17952282431451932,,,,,failed,Rotor outlet enthalpy too high. Reduce RPM!
refine,1,2032.5,207.25732028776392,0.17706167374169976,0.17706167374169976,0.17706167374169976,,,,,failed,Rotor outlet enthalpy too high. Reduce RPM!
focus,0,2047.5,208.7868946072308,0.176035979374139,0.176035979374139,0.176035979374139,19549.251002842353,6330.122277346913,7109.770997450285,6024.361476700069,ok,
refine,1,2057.5,209.80661082020876,0.17536159522915526,0.17536159522915526,0.17536159522915526,18694.17034353931,6030.002584911991,6772.683988309451,5738.739539552,ok,
refine,1,2082.5,212.35590135265358,0.17370778628411668,0.17370778628411668,0.17370778628411668,16951.68586058191,5415.825962073857,6082.85600935529,5154.231687558496,ok,
focus,0,2097.5,213.88547567212046,0.17273702205657332,0.17273702205657332,0.17273702205657332,16167.451398126022,5138.125978097523,5770.950261759806,4889.946439476989,ok,
refine,1,2107.5,214.9051918850984,0.17209860030275825,0.17209860030275825,0.17209860030275825,15680.590544240318,4963.110453681181,5574.377157209154,4723.38531611578,ok,
refine,1,2132.5,217.4544824175432,0.17053246789597046,0.17053246789597046,0.17053246789597046,14569.394141184543,4570.128074883457,5132.989077542568,4349.38657119303,ok,
focus,0,2147.5,218.9840567370101,0.16961282866290628,0.16961282866290628,0.16961282866290628,14058.095360350937,4385.172915148691,4925.252020655916,4173.3659622807045,ok,
refine,1,2157.5,220.00377294998802,0.16900789241573805,0.16900789241573805,0.16900789241573805,13706.261645968607,4259.846533999855,4784.48853177867,4054.0936697194634,ok,
refine,1,2182.5,222.55306348243286,0.16752344578898362,0.16752344578898362,0.16752344578898362,,,,,failed,MTOM did not converge within 200 outer iterations
refine,2,2190.0,223.3178506421663,0.16708573147315278,0.16708573147315278,0.16708573147315278,12767.839147608998,3925.7226108025725,4409.20881241338,3736.1101298295757,ok,
focus,0,2197.5,224.08263780189975,0.16665146991505608,0.16665146991505608,0.16665146991505608,12508.060553864187,3832.9225968069295,4304.978133938984,3647.7929669344717,ok,
refine,2,2202.5,224.5924959083887,0.16636386299002273,0.16636386299002273,0.16636386299002273,12387.888461234865,3789.651984285692,4256.377653110359,3606.6126096255975,ok,
refine,1,2207.5,225.10235401487768,0.16607776463450172,0.16607776463450172,0.16607776463450172,12293.01398978504,3755.1578433094387,4217.634687861291,3573.7847625557743,ok,
refine,2,2215.0,225.8671411746111,0.16565142332145438,0.16565142332145438,0.16565142332145438,12151.128440021857,3701.9157511575836,4157.834487953511,3523.114613673337,ok,
refine,2,2227.5,227.14178644083353,0.16494825373319597,0.16494825373319597,0.16494825373319597,11901.195312021719,3612.056203239249,4056.9064681865066,3437.5958730020634,ok,
refine,1,2232.5,227.6516445473225,0.16466954664079383,0.16466954664079383,0.16466954664079383,11740.960264865806,3556.6217815816285,3994.643898048523,3384.8392985498026,ok,
refine,2,2240.0,228.41643170705595,0.16425419903417068,0.16425419903417068,0.16425419903417068,11610.181875613029,3509.070585776708,3941.2355720406363,3339.5851382868814,ok,
focus,0,2247.5,229.18121886678938,0.16384207809472567,0.16384207809472567,0.16384207809472567,11443.811390483403,3449.4112092599285,3874.227637192746,3282.8077020862775,ok,
refine,2,2252.5,229.69107697327834,0.16356910747816508,0.16356910747816508,0.16356910747816508,11405.539898661655,3433.1132776369213,3855.922203845773,3267.2970677660064,ok,
refine,1,2257.5,230.2009350797673,0.16329754718457842,0.16329754718457842,0.16329754718457842,11306.764483737583,3397.6451167285018,3816.0852435205607,3233.542252333698,ok,
refine,2,2265.0,230.96572223950076,0.1628928306687714,0.1628928306687714,0.1628928306687714,11160.626136961013,3344.8933808672546,3756.8357996597197,3183.338772307541,ok,
refine,3,2268.75,231.34811581936748,0.16269164471964812,0.16269164471964812,0.16269164471964812,11070.704938962477,3314.407726132416,3722.595066927745,3154.3257752264517,ok,
refine,3,2275.0,231.9854384524787,0.16235805819854693,0.16235805819854693,0.16235805819854693,10930.04527558059,3263.7476861078317,3665.6949640511402,3106.1129483691875,ok,
refine,2,2277.5,232.24036750572319,0.16222522346746152,0.16222522346746152,0.16222522346746152,10872.006707070364,3243.032241761672,3642.4278897681534,3086.3981962480275,ok,
refine,3,2281.25,232.6227610855899,0.1620266105747861,0.1620266105747861,0.1620266105747861,10846.116755720108,3231.4736628178553,3629.4455800287346,3075.3979726977927,ok,
refine,1,2282.5,232.75022561221215,0.161960576171524,0.161960576171524,0.161960576171524,10819.402824819155,3223.5815073077592,3620.5813063285013,3067.887060212247,ok,
refine,3,2287.5,233.2600837187011,0.1616972843164203,0.1616972843164203,0.1616972843164203,10782.821854313308,3207.9453708637766,3603.0191849440043,3053.0062520106653,ok,
refine,2,2290.0,233.51501277194558,0.16156614390467075,0.16156614390467075,0.16156614390467075,10716.290669422913,3186.207736351939,3578.604011971038,3032.3186882326427,ok,
refine,3,2293.75,233.8974063518123,0.1613700976143216,0.1613700976143216,0.1613700976143216,10612.711767675139,3148.953876844565,3536.7613991840863,2996.864435189766,ok,
focus,0,2297.5,234.27979993167904,0.161174816127899,0.161174816127899,0.161174816127899,10474.055251152948,3104.594443961587,3486.937982278682,2954.64785470472,ok,
refine,3,2300.0,234.5347289849235,0.16104504411694753,0.16104504411694753,0.16104504411694753,10609.960245207441,3144.0446529661604,3531.247480450703,2992.192359116825,ok,
refine,2,2302.5,234.789658038168,0.16091560335995897,0.16091560335995897,0.16091560335995897,10353.303726405617,3064.149155299574,3441.5108352684206,2916.156339528115,ok,
refine,3,2306.25,235.17205161803471,0.16072206096968106,0.16072206096968106,0.16072206096968106,10360.18001812706,3063.0555292779914,3440.2825015934695,2915.1155428370826,ok,
refine,1,2307.5,235.29951614465696,0.16065771130213474,0.16065771130213474,0.16065771130213474,10351.756123640278,3059.818011887879,3436.646202204981,2912.0344188328163,ok,
refine,4,2310.625,235.61817746121255,0.16049719563030884,0.16049719563030884,0.16049719563030884,10416.51422601976,3075.608546072443,3454.3817393096147,2927.062166348503,ok,
focus,0,2312.5,235.80937425114593,0.16040113138950302,0.16040113138950302,0.16040113138950302,10346.93613468998,3052.7238763860855,3428.6782448232498,2905.2829767399157,ok,
refine,4,2313.75,235.93683877776817,0.16033719043737857,0.16033719043737857,0.16033719043737857,10417.501109803969,3072.368965993591,3450.7431231601945,2923.9790792969306,ok,
refine,2,2315.0,236.0643033043904,0.16027333083132864,0.16027333083132864,0.16027333083132864,10331.70117192561,3046.853709776583,3422.08501900224,2899.6963777907263,ok,
refine,4,2316.875,236.25550009432376,0.16017769365819234,0.16017769365819234,0.16017769365819234,10309.96423793856,3039.137002703061,3413.417804642778,2892.3524384281955,ok,
refine,3,2318.75,236.44669688425714,0.16008223877434283,0.16008223877434283,0.16008223877434283,10292.899689169124,3029.8043322506255,3402.935580218965,2883.470597347516,ok,
refine,4,2320.0,236.57416141087936,0.16001870323872555,0.16001870323872555,0.16001870323872555,10308.264259254736,3034.907959163535,3408.6678476282964,2888.3276855096415,ok,
refine,4,2323.125,236.89282272743498,0.15986021713600537,0.15986021713600537,0.15986021713600537,10243.15164259013,3011.4590398976225,3382.33060198206,2866.01150328774,ok,
refine,3,2325.0,237.08401951736832,0.15976536670064734,0.15976536670064734,0.15976536670064734,10201.777132078247,2999.771019981358,3369.2029073466724,2854.8880916154712,ok,
refine,4,2326.25,237.21148404399057,0.15970223331803707,0.15970223331803707,0.15970223331803707,10217.188931626288,3002.0730846663187,3371.788529413676,2857.0789514335115,ok,
refine,2,2327.5,237.3389485706128,0.15963917997749125,0.15963917997749125,0.15963917997749125,10180.515081774705,2988.833161858332,3356.9177758673477,2844.478603987374,ok,
refine,4,2329.375,237.5301453605462,0.15954474976372993,0.15954474976372993,0.15954474976372993,10176.568297537744,2987.2227295565754,3355.108978171939,2842.945966158974,ok,
refine,5,2330.3125,237.62574375551284,0.15949760194803583,0.15949760194803583,0.15949760194803583,10145.144264293678,2975.961120873712,3342.460218078184,2832.228367252663,ok,
refine,3,2331.25,237.72134215047953,0.15945049892098673,0.15945049892098673,0.15945049892098673,10121.747600498877,2967.690607984597,3333.170982735998,2824.3573745382837,ok,
refine,5,2331.875,237.78507441379065,0.1594191217588639,0.1594191217588639,0.1594191217588639,10125.494834068239,2969.0419454889056,3334.6887715687512,2825.643433552238,ok,
